2026-02-10T16:24:40.963172 | ankit | INFO | credentials.txt
2026-02-10T17:24:18.560165 | rohit | INFO | credentials.txt
2026-02-10T17:24:28.579577 | rohit | SIZE | credentials.txt
2026-02-10T17:28:02.189168 | rohit | INFO | credentials.txt
2026-02-10T17:28:14.117945 | rohit | INFO | CREE.txt
2026-02-10T17:41:16.380710 | ankit | GET | credentials.txt
2026-02-10T19:47:08.905153 | ankit | GET | credentials.txt
2026-02-10T19:51:00.331384 | ankit | GET | credentials.txt
2026-02-10T19:56:58.531988 | ankit | GET | credentials.txt
2026-02-10T20:25:36.049784 | ankit | INFO | credentials.txt
2026-02-10T20:29:24.185642 | ankit | INFO | credentials.txt
2026-02-10T20:29:40.838902 | ankit | SIZE | credentials.txt
2026-02-10T20:29:55.732437 | ankit | SIZE | credentials.txt
2026-02-10T20:30:08.541556 | ankit | SIZE | credent.txt
2026-02-10T20:30:38.313261 | ankit | INFO | CRU.txt
2026-02-10T20:30:53.821941 | ankit | GET | credentials.txt
2026-02-10T20:38:36.479671 | ankit | INFO | credentials.txt
2026-02-10T20:39:05.767229 | ankit | SIZE | FJFK
2026-02-10T20:45:34.782143 | ankit | gg | None
2026-02-11T10:12:48.702408 | ankit | LIST | None
2026-02-11T10:13:48.265605 | ankit | INFO | client.py
2026-02-11T10:13:57.944414 | ankit | SIZE | client.py
2026-02-11T10:14:15.130940 | ankit | GET | credentials.txt
2026-02-11T10:27:07.319015 | ankit | LIST | downloaded_file.txt login.py server.py __pycache__ GloblaVariableGeneration.py client.py FileHandlingSocket.py globalvariable.txt credentials.txt my_enc_decrp.py client_historybook.log
